,simulation_id,p,ver,initialization,hidden_size,corpus_seed,training_seed,regularization,regularization_lambda,learning_rate,num_epochs,dropout,validation_ratio,early_stop_patience,train_size,training_loss,validation_loss,G,D:G,test_accuracy,first_n_failure,eval_params
1349,1c67e83e,0.3,8,normal,3,100,500,,,0.001,20000,0.0,0.05,2.0,1000,0.3587985634803770,0.18096284568309800,4297,1707553.4723287200,0.8383463463463460,73,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1353,1d3ac292,0.3,8,normal,3,100,500,,,0.001,20000,0.0,0.05,10.0,1000,0.35879674553871200,0.1809629499912260,4235,1709064.8757209400,0.8382482482482480,73,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1,1ba97bda,0.3,8,normal,3,100,100,,,0.001,20000,0.0,0.05,,1000,0.357954204082489,0.1838236004114150,4245,3790218.8361751500,0.7304164164164160,36,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1348,78dd25e6,0.3,8,normal,3,100,500,,,0.001,20000,0.0,0.05,2.0,500,0.35805726051330600,0.18714722990989700,4233,1676995.7486676600,0.806948948948949,42,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1352,510f5bdc,0.3,8,normal,3,100,500,,,0.001,20000,0.0,0.05,10.0,500,0.3580474555492400,0.1871473342180250,4257,1675014.928376520,0.8073453453453450,42,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
339,2.80497E+06,0.3,8,normal,3,100,200,,,0.001,20000,0.0,0.05,,10000,0.3600403368473050,0.18871057033538800,4421,923936.7092031540,0.9454474474474480,76,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
337,c10e6c52,0.3,8,normal,3,100,200,,,0.001,20000,0.0,0.05,,1000,0.3579678535461430,0.1888672411441800,4307,1110001.4493003600,0.9403363363363360,57,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
3,61f11673,0.3,8,normal,3,100,100,,,0.001,20000,0.0,0.05,,10000,0.36003926396369900,0.18901149928569800,4301,2773190.065416070,0.8173253253253250,49,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
3027,dcb4d9c2,0.3,8,uniform,3,100,500,,,0.001,20000,0.0,0.05,,10000,0.3600340187549590,0.18939611315727200,4439,1548115.4725799200,0.8817077077077080,47,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1347,8e6b15d4,0.3,8,normal,3,100,500,,,0.001,20000,0.0,0.05,,10000,0.3600475490093230,0.18949028849601700,4383,2439288.938078250,0.8358858858858860,65,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
675,8a19bd01,0.3,8,normal,3,100,300,,,0.001,20000,0.0,0.05,,10000,0.36004653573036200,0.19001257419586200,4147,972789.9700252560,0.9336376376376380,62,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2019,b8552678,0.3,8,uniform,3,100,200,,,0.001,20000,0.0,0.05,,10000,0.36003246903419500,0.19179680943489100,4371,2666643.249571940,0.792084084084084,40,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2018,40113374,0.3,8,uniform,3,100,200,,,0.001,20000,0.0,0.05,,5000,0.35948407649993900,0.19229035079479200,4427,3277943.7956662100,0.7314894894894890,37,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
338,f98fb547,0.3,8,normal,3,100,200,,,0.001,20000,0.0,0.05,,5000,0.35947558283805800,0.1924368441104890,4339,1011902.3342681600,0.9391271271271270,70,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2691,4d397702,0.3,8,uniform,3,100,400,,,0.001,20000,0.0,0.05,,10000,0.36004048585891700,0.1926787942647930,4277,1955190.2727285100,0.8537257257257260,75,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1354,a1b5ca9e,0.3,8,normal,3,100,500,,,0.001,20000,0.0,0.05,10.0,5000,0.35973790287971500,0.1930208057165150,4287,1994878.6329664900,0.8292532532532530,56,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1350,436e1726,0.3,8,normal,3,100,500,,,0.001,20000,0.0,0.05,2.0,5000,0.3597819209098820,0.19311454892158500,4259,1893368.2655101000,0.8351831831831830,53,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1009,f55ce0a2,0.3,8,normal,3,100,400,,,0.001,20000,0.0,0.05,,1000,0.3588646948337560,0.19619208574295000,4279,68799.7595784432,0.998058058058058,31,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2,e938d44c,0.3,8,normal,3,100,100,,,0.001,20000,0.0,0.05,,5000,0.35945817828178400,0.19743035733699800,4293,5278100.167766030,0.6382182182182180,35,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
